domain,domain_start,domain_end,optimal_youden_index,assay_source,metric,metric_std,optimal_youden_index_std,num_positive,num_negative,model
Hinge 1,65,72,2.4,HXK4,0.5606704980842911,0.06573590908361371,0.8944271909999159,145.0,2.0,LOF_10%
Hinge 2,181,200,33.2,HXK4,0.5561423068207927,0.024943828252147474,25.053941805632103,279.0,89.0,LOF_10%
Large domain (C‑lobe),201,300,173.2,HXK4,0.4976586330910118,0.016115132383514058,186.18055752414108,1542.0,271.0,LOF_10%
Large domain (N‑lobe),73,180,183.6,HXK4,0.5143699106214495,0.008401286440006475,90.93294232565006,1746.0,261.0,LOF_10%
Small domain,1,64,41.2,HXK4,0.5196542007884676,0.041884834025361514,28.55170747958868,1090.0,47.0,LOF_10%
C‑terminal tail,301,465,256.4,HXK4,0.6075998969243624,0.0319275928259039,38.45516870330956,2733.0,359.0,LOF_20%
Hinge 1,65,72,3.6,HXK4,0.5957686096021143,0.045479018046784205,2.6076809620810595,140.0,7.0,LOF_20%
Hinge 2,181,200,65.6,HXK4,0.5472357912536798,0.03308836082645206,41.90823308134095,229.0,139.0,LOF_20%
Large domain (C‑lobe),201,300,259.6,HXK4,0.5156569067494272,0.01571357774990607,157.26029378072522,1350.0,462.0,LOF_20%
Large domain (N‑lobe),73,180,364.2,HXK4,0.5111168593159382,0.012176244883967865,82.1413416009259,1376.0,631.0,LOF_20%
Small domain,1,64,98.4,HXK4,0.5308085138039524,0.024223668204451952,67.19226145918888,1022.0,115.0,LOF_20%
C-terminal tail,352,403,26.6,PTEN,0.40576449433719725,0.04199475749157623,20.707486568871655,60.0,39.0,GOF/LOF
C2 domain,195,351,89.4,PTEN,0.5691390458705203,0.017666045060162384,37.051315766110115,110.0,442.0,GOF/LOF
Linker,186,194,5.8,PTEN,0.6537931034482758,0.12635943297602045,3.1144823004794873,5.0,29.0,GOF/LOF
Phosphatase domain,1,185,100.6,PTEN,0.5933366091356855,0.02050197451643412,36.97025831665232,113.0,569.0,GOF/LOF
C-terminal tail,352,403,140.8,PTEN,0.5044178897687341,0.019369074942855672,25.02398849104595,113.0,818.0,GOF_10%
C2 domain,195,351,291.2,PTEN,0.4970514101621271,0.01484529837812322,214.19897292003992,323.0,2421.0,GOF_10%
Linker,186,194,25.2,PTEN,0.5545539215686275,0.10839659728940557,5.215361924162119,17.0,150.0,GOF_10%
Phosphatase domain,1,185,213.2,PTEN,0.5590996430047016,0.00892857318612579,25.023988491045944,273.0,3137.0,GOF_10%
C-terminal tail,352,403,194.0,PTEN,0.518349565394883,0.013481653627403025,72.11795892841117,257.0,674.0,GOF_20%
C2 domain,195,351,496.0,PTEN,0.5086780169633758,0.008060397403914064,266.3174797117155,620.0,2124.0,GOF_20%
Linker,186,194,41.2,PTEN,0.5100843150843151,0.08372755537723342,11.497825881443848,37.0,130.0,GOF_20%
Phosphatase domain,1,185,352.6,PTEN,0.5581536966700987,0.010039146695516301,96.69953464210673,538.0,2872.0,GOF_20%
C-terminal tail,352,403,5.2,PTEN,0.6342504626140272,0.1029066549580744,3.03315017762062,924.0,7.0,LOF_10%
C2 domain,195,351,89.6,PTEN,0.5487695697157859,0.020013434077997123,57.71308343867966,2601.0,143.0,LOF_10%
Linker,186,194,0.0,PTEN,,,0.0,167.0,0.0,LOF_10%
Phosphatase domain,1,185,263.4,PTEN,0.5206162114087599,0.02549555747396958,184.37678812692232,2835.0,575.0,LOF_10%
C-terminal tail,352,403,28.0,PTEN,0.6067659353621714,0.014431205966003674,12.884098726725126,892.0,39.0,LOF_20%
C2 domain,195,351,156.8,PTEN,0.5444160930889261,0.01741860831718831,135.28931960801637,2399.0,346.0,LOF_20%
Linker,186,194,4.4,PTEN,0.6510298742138365,0.06449790208447252,2.6076809620810595,160.0,7.0,LOF_20%
Phosphatase domain,1,185,421.0,PTEN,0.5297504146435539,0.0192489947006322,263.50142314606194,2352.0,1059.0,LOF_20%
Kinase,270,536,283.8,SRC,0.5857564319711371,0.016672305094005066,98.03162754948018,395.0,1673.0,GOF/LOF
Kinase,270,536,216.4,SRC,0.5680254730086369,0.03668391701986322,106.26758677978906,364.0,3259.0,GOF_10%
Kinase,270,536,555.6,SRC,0.5613648866365225,0.023011209595766694,157.13942853402514,727.0,2898.0,GOF_20%
Kinase,270,536,357.2,SRC,0.5558241218568816,0.02294492605166712,57.490868840190615,3261.0,363.0,LOF_10%
Kinase,270,536,566.4,SRC,0.561461603950088,0.020461700213085045,166.22514851850786,2898.0,727.0,LOF_20%
