round_num,auc,auc_std,optimal_youden_index,optimal_youden_index_std,assay_source,model,llr_auc,num_positive,num_negative
8,0.5420073312133838,0.0067730391239742655,1141.6,306.6215908901394,PTEN,GOF_20%,0.6819779073606084,1452.0,5808.0
9,0.5410270859218869,0.00844953874950513,1189.2,227.5877852609845,PTEN,GOF_20%,0.6819779073606084,1452.0,5808.0
10,0.5453763732463455,0.006378364101308673,1227.6,177.92357910069143,PTEN,GOF_20%,0.6819779073606084,1452.0,5808.0
11,0.5458045384253125,0.007050238817150492,1071.6,154.03830692395968,PTEN,GOF_20%,0.6819779073606084,1452.0,5808.0
1,0.5,0.0,0.0,0.0,PTEN,LOF_10%,0.8658658544709134,6534.0,726.0
2,0.5323120989473885,0.026699208545668224,479.4,164.34354261728691,PTEN,LOF_10%,0.8658658544709134,6534.0,726.0
3,0.5447864688567047,0.01612238308623468,509.6,237.6863479461957,PTEN,LOF_10%,0.8658658544709134,6534.0,726.0
4,0.557198814241664,0.02704060646092438,548.4,157.10760643584385,PTEN,LOF_10%,0.8658658544709134,6534.0,726.0
5,0.5617945654619302,0.02895575789741337,484.0,232.606964642076,PTEN,LOF_10%,0.8658658544709134,6534.0,726.0
6,0.5575092647093203,0.030761357931140897,410.0,271.10145702301196,PTEN,LOF_10%,0.8658658544709134,6534.0,726.0
7,0.5653094186939386,0.022781330784684348,489.6,202.56554494780204,PTEN,LOF_10%,0.8658658544709134,6534.0,726.0
8,0.5732509756690215,0.023377356460871922,455.2,137.2705358043014,PTEN,LOF_10%,0.8658658544709134,6534.0,726.0
9,0.5649673343474322,0.024666175031702584,346.0,241.8098426450007,PTEN,LOF_10%,0.8658658544709134,6534.0,726.0
10,0.5730844463662459,0.025420281043914385,353.6,117.29791131985259,PTEN,LOF_10%,0.8658658544709134,6534.0,726.0
11,0.5705621929127369,0.025334616545301697,380.8,224.16779429703993,PTEN,LOF_10%,0.8658658544709134,6534.0,726.0
1,0.5,0.0,0.0,0.0,PTEN,LOF_20%,0.8424957928268408,5808.0,1452.0
2,0.5385513809739362,0.025465164090290756,847.6,242.48773164842794,PTEN,LOF_20%,0.8424957928268408,5808.0,1452.0
